"hit_id","hit_timestamp","visitor_id","visit_id","pagename","product_list","purchase_id","event_name","event_date","season_year","game_number","season_id"
"36173904474463957810095823839262361912","2026-07-02 18:54:32","2585977171873370570-6582108016949539681-Web","2585977171873370570-6582108016949539681-Web-4-1783032872","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. Chicago Cubs on 07/04/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0704","2026-07-04",2026,75,569
"48972835938465257785171688321802102163","2026-07-02 18:55:33","2585977171873370570-6582108016949539681-Web","2585977171873370570-6582108016949539681-Web-4-1783032872","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. Chicago Cubs on 07/04/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0704","2026-07-04",2026,75,569
"36958363535719233795092369802180844443","2026-07-02 18:56:38","2585977171873370570-6582108016949539681-Web","2585977171873370570-6582108016949539681-Web-4-1783032872","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. Chicago Cubs on 07/04/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0704","2026-07-04",2026,75,569
"48886481103718495641159409776494874321","2026-05-28 13:08:34","4429857277106556018-4002367682520975488-Web","4429857277106556018-4002367682520975488-Web-5-1779988114","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. St. Louis Cardinals on 05/30/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0530","2026-05-30",2026,52,569
"24660757897794328209770977434782471625","2026-05-28 13:11:15","4429857277106556018-4002367682520975488-Web","4429857277106556018-4002367682520975488-Web-5-1779988114","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. St. Louis Cardinals on 05/30/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0530","2026-05-30",2026,52,569
"63165645441721922189337485676251507155","2026-05-28 13:13:58","4429857277106556018-4002367682520975488-Web","4429857277106556018-4002367682520975488-Web-5-1779988114","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. St. Louis Cardinals on 05/30/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0530","2026-05-30",2026,52,569
"88616946114396314888872534534472481248","2026-02-02 22:12:50","4032278712516556231-1184028216379610338-Web","4032278712516556231-1184028216379610338-Web-5-1770088370","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. New York Mets on 04/22/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0422","2026-04-22",2026,24,569
"40549664015374815300649745481908448960","2026-02-02 22:14:55","4032278712516556231-1184028216379610338-Web","4032278712516556231-1184028216379610338-Web-5-1770088370","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. New York Mets on 04/22/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0422","2026-04-22",2026,24,569
"22700280645340404554195428310611376128","2026-02-02 22:15:32","4032278712516556231-1184028216379610338-Web","4032278712516556231-1184028216379610338-Web-5-1770088370","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. New York Mets on 04/22/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0422","2026-04-22",2026,24,569
"79147529449677311207288012620973436693","2026-06-11 15:31:17","2085064553594873746-1811129100061752890-Web","2085064553594873746-1811129100061752890-Web-8-1781206277","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. Chicago Cubs on 06/21/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0621","2026-06-21",2026,65,569
"19934515082824395595206647965173303209","2026-06-11 15:34:15","2085064553594873746-1811129100061752890-Web","2085064553594873746-1811129100061752890-Web-8-1781206277","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. Chicago Cubs on 06/21/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0621","2026-06-21",2026,65,569
"78386287202256280054831043996533722460","2026-06-11 15:37:09","2085064553594873746-1811129100061752890-Web","2085064553594873746-1811129100061752890-Web-8-1781206277","Ticketmaster: Event Detail","Atlanta Braves;Atlanta Braves vs. Chicago Cubs on 06/21/2026;;;;106=::hash::0|147=::hash::0|1335=::hash::0",NA,"E6BB0621","2026-06-21",2026,65,569
